7-111-R.toTranscriptome.sort	7-7-R.toTranscriptome.sort
ENSMUST00000175934	ENSMUST00000028636
ENSMUST00000200157	ENSMUST00000029771
ENSMUST00000110612	ENSMUST00000106343
ENSMUST00000115631	ENSMUST00000032151
ENSMUST00000001974	ENSMUST00000102821
ENSMUST00000041367	ENSMUST00000034079
ENSMUST00000108817	ENSMUST00000092618
ENSMUST00000185675	ENSMUST00000060989
ENSMUST00000027916	ENSMUST00000058754
ENSMUST00000021331	ENSMUST00000073089
ENSMUST00000021412	ENSMUST00000102646
ENSMUST00000062962	ENSMUST00000166897
ENSMUST00000047524	ENSMUST00000118362
ENSMUST00000026649	ENSMUST00000163590
ENSMUST00000000804	ENSMUST00000034749
ENSMUST00000115735	ENSMUST00000079773
ENSMUST00000162316	ENSMUST00000112201
ENSMUST00000108548	ENSMUST00000068045
ENSMUST00000029125	ENSMUST00000017384
ENSMUST00000081790	ENSMUST00000026011
ENSMUST00000111300	ENSMUST00000030367
ENSMUST00000030684	ENSMUST00000171171
ENSMUST00000070630	ENSMUST00000029575
ENSMUST00000016771	ENSMUST00000114763
ENSMUST00000034904	ENSMUST00000001920
ENSMUST00000140991	ENSMUST00000059498
ENSMUST00000160422	ENSMUST00000111122
ENSMUST00000081932	ENSMUST00000091756
ENSMUST00000113202	ENSMUST00000031621
ENSMUST00000211206	ENSMUST00000106478
ENSMUST00000023524	ENSMUST00000176464
ENSMUST00000168237	ENSMUST00000111338
ENSMUST00000021039	ENSMUST00000029165
ENSMUST00000032180	ENSMUST00000096313
ENSMUST00000027973	ENSMUST00000038580
ENSMUST00000173837	ENSMUST00000027802
ENSMUST00000098651	ENSMUST00000064709
ENSMUST00000040967	ENSMUST00000044565
ENSMUST00000040468	ENSMUST00000111817
ENSMUST00000047285	ENSMUST00000030361
ENSMUST00000036584	ENSMUST00000030852
ENSMUST00000031262	ENSMUST00000156038
ENSMUST00000046283	ENSMUST00000005606
ENSMUST00000063886	ENSMUST00000112095
ENSMUST00000030623	ENSMUST00000031538
ENSMUST00000054708	ENSMUST00000055262
ENSMUST00000000304	ENSMUST00000038398
ENSMUST00000168536	ENSMUST00000013766
ENSMUST00000027379	ENSMUST00000002855
ENSMUST00000024698	ENSMUST00000029445
ENSMUST00000029698	ENSMUST00000029386
ENSMUST00000108300	ENSMUST00000072119
ENSMUST00000179802	ENSMUST00000170315
ENSMUST00000100013	ENSMUST00000053035
ENSMUST00000030797	ENSMUST00000103013
ENSMUST00000060396	ENSMUST00000093939
ENSMUST00000164233	ENSMUST00000137543
ENSMUST00000020027	ENSMUST00000023562
ENSMUST00000027783	ENSMUST00000022153
ENSMUST00000001258	ENSMUST00000015277
ENSMUST00000140975	ENSMUST00000115073
ENSMUST00000002603	ENSMUST00000106550
ENSMUST00000047357	ENSMUST00000068952
ENSMUST00000102899	ENSMUST00000026698
ENSMUST00000005548	ENSMUST00000110048
ENSMUST00000115567	ENSMUST00000041804
ENSMUST00000031345	ENSMUST00000022842
ENSMUST00000029909	ENSMUST00000163854
ENSMUST00000037115	ENSMUST00000034041
ENSMUST00000046955	ENSMUST00000102573
ENSMUST00000073691	ENSMUST00000041190
ENSMUST00000019679	ENSMUST00000029740
ENSMUST00000029643	ENSMUST00000041733
ENSMUST00000033313	ENSMUST00000032427
ENSMUST00000053183	ENSMUST00000000266
ENSMUST00000032065	ENSMUST00000161527
ENSMUST00000136312	ENSMUST00000040656
ENSMUST00000107894	ENSMUST00000115110
ENSMUST00000022196	ENSMUST00000087215
ENSMUST00000022268	ENSMUST00000054984
ENSMUST00000020702	ENSMUST00000105413
ENSMUST00000028815	ENSMUST00000102724
ENSMUST00000112901	ENSMUST00000179869
ENSMUST00000145963	ENSMUST00000170086
ENSMUST00000038421	ENSMUST00000031841
ENSMUST00000205715	ENSMUST00000047860
ENSMUST00000109478	ENSMUST00000042012
ENSMUST00000102564	ENSMUST00000105993
ENSMUST00000032237	ENSMUST00000020608
ENSMUST00000031281	ENSMUST00000018625
ENSMUST00000023435	ENSMUST00000026428
ENSMUST00000004965	ENSMUST00000005714
ENSMUST00000008004	ENSMUST00000025364
ENSMUST00000032419	ENSMUST00000107528
ENSMUST00000045142	ENSMUST00000056108
ENSMUST00000128119	ENSMUST00000121212
ENSMUST00000135884	ENSMUST00000023507
ENSMUST00000023128	ENSMUST00000166592
ENSMUST00000050813	ENSMUST00000043722
ENSMUST00000084513	ENSMUST00000055447
ENSMUST00000111352	ENSMUST00000023431
ENSMUST00000034946	ENSMUST00000165307
ENSMUST00000021028	ENSMUST00000099153
ENSMUST00000025774	ENSMUST00000054963
ENSMUST00000061101	ENSMUST00000126070
ENSMUST00000181969	ENSMUST00000021296
ENSMUST00000026295	ENSMUST00000100857
ENSMUST00000145167	ENSMUST00000090781
ENSMUST00000117648	ENSMUST00000210798
ENSMUST00000207314	ENSMUST00000076859
ENSMUST00000101610	ENSMUST00000208616
ENSMUST00000207370	ENSMUST00000034030
ENSMUST00000027312	ENSMUST00000027071
ENSMUST00000045301	ENSMUST00000002044
ENSMUST00000042296	ENSMUST00000079949
ENSMUST00000126071	ENSMUST00000038753
ENSMUST00000044616	ENSMUST00000115632
ENSMUST00000022656	ENSMUST00000170957
ENSMUST00000106405	ENSMUST00000026461
ENSMUST00000022458	ENSMUST00000156203
ENSMUST00000027780	ENSMUST00000107464
ENSMUST00000176496	ENSMUST00000163242
ENSMUST00000017332	ENSMUST00000141429
ENSMUST00000174407	ENSMUST00000056508
ENSMUST00000021864	ENSMUST00000063091
ENSMUST00000047036	ENSMUST00000175934
ENSMUST00000033938	ENSMUST00000057151
ENSMUST00000060652	ENSMUST00000200157
ENSMUST00000023365	ENSMUST00000110612
ENSMUST00000001326	ENSMUST00000144668
ENSMUST00000167199	ENSMUST00000119954
ENSMUST00000031224	ENSMUST00000115631
ENSMUST00000119962	ENSMUST00000001974
ENSMUST00000045114	ENSMUST00000030917
ENSMUST00000130447	ENSMUST00000041367
ENSMUST00000113539	ENSMUST00000108817
ENSMUST00000111663	ENSMUST00000020629
ENSMUST00000019962	ENSMUST00000185675
ENSMUST00000106908	ENSMUST00000027916
ENSMUST00000128788	ENSMUST00000021331
ENSMUST00000033933	ENSMUST00000021412
ENSMUST00000115460	ENSMUST00000062962
ENSMUST00000109139	ENSMUST00000030345
ENSMUST00000033727	ENSMUST00000047524
ENSMUST00000139560	ENSMUST00000003044
ENSMUST00000134115	ENSMUST00000035240
ENSMUST00000025989	ENSMUST00000018990
ENSMUST00000067230	ENSMUST00000026649
ENSMUST00000195905	ENSMUST00000032736
ENSMUST00000059438	ENSMUST00000071134
ENSMUST00000037918	ENSMUST00000000804
ENSMUST00000043359	ENSMUST00000002379
ENSMUST00000047356	ENSMUST00000115735
ENSMUST00000111094	ENSMUST00000108548
ENSMUST00000033809	ENSMUST00000029125
ENSMUST00000100023	ENSMUST00000058370
ENSMUST00000008280	ENSMUST00000081790
ENSMUST00000055056	ENSMUST00000023958
ENSMUST00000107689	ENSMUST00000111300
ENSMUST00000096753	ENSMUST00000030684
ENSMUST00000029069	ENSMUST00000085709
ENSMUST00000115259	ENSMUST00000008350
ENSMUST00000072287	ENSMUST00000070630
ENSMUST00000041723	ENSMUST00000001080
ENSMUST00000112999	ENSMUST00000016771
ENSMUST00000166312	ENSMUST00000190116
ENSMUST00000086559	ENSMUST00000034904
ENSMUST00000004784	ENSMUST00000071442
ENSMUST00000050970	ENSMUST00000140991
ENSMUST00000171845	ENSMUST00000143517
ENSMUST00000022693	ENSMUST00000160422
ENSMUST00000024078	ENSMUST00000030451
ENSMUST00000201621	ENSMUST00000006178
ENSMUST00000054014	ENSMUST00000099931
ENSMUST00000023474	ENSMUST00000081932
ENSMUST00000026217	ENSMUST00000120580
ENSMUST00000025707	ENSMUST00000113202
ENSMUST00000061047	ENSMUST00000026897
ENSMUST00000032969	ENSMUST00000211206
ENSMUST00000109468	ENSMUST00000168237
ENSMUST00000028938	ENSMUST00000085679
ENSMUST00000001451	ENSMUST00000021039
ENSMUST00000170054	ENSMUST00000027973
ENSMUST00000111343	ENSMUST00000173837
ENSMUST00000114786	ENSMUST00000160885
ENSMUST00000084030	ENSMUST00000098651
ENSMUST00000110585	ENSMUST00000015841
ENSMUST00000118522	ENSMUST00000040967
ENSMUST00000001825	ENSMUST00000139793
ENSMUST00000188414	ENSMUST00000040468
ENSMUST00000068439	ENSMUST00000047285
ENSMUST00000090147	ENSMUST00000024736
ENSMUST00000029462	ENSMUST00000036584
ENSMUST00000028527	ENSMUST00000001583
ENSMUST00000030340	ENSMUST00000031262
ENSMUST00000032715	ENSMUST00000046283
ENSMUST00000173363	ENSMUST00000069298
ENSMUST00000079644	ENSMUST00000030623
ENSMUST00000024518	ENSMUST00000110087
ENSMUST00000025639	ENSMUST00000030189
ENSMUST00000068259	ENSMUST00000054708
ENSMUST00000034097	ENSMUST00000063976
ENSMUST00000084264	ENSMUST00000000304
ENSMUST00000026062	ENSMUST00000168536
ENSMUST00000055518	ENSMUST00000027379
ENSMUST00000117146	ENSMUST00000041126
ENSMUST00000079601	ENSMUST00000114709
ENSMUST00000020258	ENSMUST00000042405
ENSMUST00000002121	ENSMUST00000024698
ENSMUST00000020653	ENSMUST00000029698
ENSMUST00000046030	ENSMUST00000108300
ENSMUST00000029482	ENSMUST00000179802
ENSMUST00000032629	ENSMUST00000100013
ENSMUST00000091403	ENSMUST00000030797
ENSMUST00000037270	ENSMUST00000060396
ENSMUST00000029344	ENSMUST00000099207
ENSMUST00000108789	ENSMUST00000046999
ENSMUST00000030944	ENSMUST00000075637
ENSMUST00000179343	ENSMUST00000175765
ENSMUST00000058162	ENSMUST00000185036
ENSMUST00000019514	ENSMUST00000164233
ENSMUST00000016781	ENSMUST00000020027
ENSMUST00000047203	ENSMUST00000027783
ENSMUST00000112641	ENSMUST00000001258
ENSMUST00000006900	ENSMUST00000002603
ENSMUST00000040314	ENSMUST00000056978
ENSMUST00000160835	ENSMUST00000047357
ENSMUST00000016138	ENSMUST00000084947
ENSMUST00000028125	ENSMUST00000072249
ENSMUST00000023405	ENSMUST00000033961
ENSMUST00000034230	ENSMUST00000064679
ENSMUST00000047903	ENSMUST00000102899
ENSMUST00000054716	ENSMUST00000005548
ENSMUST00000057288	ENSMUST00000115567
ENSMUST00000201352	ENSMUST00000031345
ENSMUST00000004327	ENSMUST00000029909
ENSMUST00000030669	ENSMUST00000029194
ENSMUST00000102783	ENSMUST00000023769
ENSMUST00000033179	ENSMUST00000037115
ENSMUST00000022962	ENSMUST00000060722
ENSMUST00000037488	ENSMUST00000046955
ENSMUST00000020767	ENSMUST00000073691
ENSMUST00000025696	ENSMUST00000019679
ENSMUST00000067912	ENSMUST00000029643
ENSMUST00000067880	ENSMUST00000045281
ENSMUST00000170157	ENSMUST00000054487
ENSMUST00000027114	ENSMUST00000101085
ENSMUST00000109315	ENSMUST00000098346
ENSMUST00000115193	ENSMUST00000033383
ENSMUST00000102507	ENSMUST00000033313
ENSMUST00000110305	ENSMUST00000053183
ENSMUST00000003183	ENSMUST00000032065
ENSMUST00000036153	ENSMUST00000136312
ENSMUST00000117217	ENSMUST00000107894
ENSMUST00000102518	ENSMUST00000022196
ENSMUST00000105475	ENSMUST00000022268
ENSMUST00000050552	ENSMUST00000209623
ENSMUST00000064771	ENSMUST00000028815
ENSMUST00000103015	ENSMUST00000112901
ENSMUST00000050398	ENSMUST00000145963
ENSMUST00000028593	ENSMUST00000038421
ENSMUST00000112830	ENSMUST00000109478
ENSMUST00000006221	ENSMUST00000021817
ENSMUST00000007130	ENSMUST00000112971
ENSMUST00000037099	ENSMUST00000102564
ENSMUST00000068613	ENSMUST00000032237
ENSMUST00000111605	ENSMUST00000031281
ENSMUST00000167626	ENSMUST00000033136
ENSMUST00000043521	ENSMUST00000023435
ENSMUST00000096385	ENSMUST00000077257
ENSMUST00000102494	ENSMUST00000004965
ENSMUST00000021536	ENSMUST00000023211
ENSMUST00000019199	ENSMUST00000008004
ENSMUST00000048962	ENSMUST00000032419
ENSMUST00000161807	ENSMUST00000030154
ENSMUST00000034803	ENSMUST00000045142
ENSMUST00000200758	ENSMUST00000165230
ENSMUST00000026154	ENSMUST00000128119
ENSMUST00000142519	ENSMUST00000060435
ENSMUST00000154132	ENSMUST00000135884
ENSMUST00000109670	ENSMUST00000023128
ENSMUST00000044509	ENSMUST00000065574
ENSMUST00000130643	ENSMUST00000172785
ENSMUST00000022245	ENSMUST00000025036
ENSMUST00000103220	ENSMUST00000092834
ENSMUST00000050073	ENSMUST00000099816
ENSMUST00000039608	ENSMUST00000034427
ENSMUST00000162364	ENSMUST00000050813
ENSMUST00000043864	ENSMUST00000088785
ENSMUST00000034303	ENSMUST00000084513
ENSMUST00000036497	ENSMUST00000111352
ENSMUST00000033509	ENSMUST00000034946
ENSMUST00000193094	ENSMUST00000212396
ENSMUST00000072889	ENSMUST00000025774
ENSMUST00000052529	ENSMUST00000050785
ENSMUST00000032485	ENSMUST00000061101
ENSMUST00000021933	ENSMUST00000181969
ENSMUST00000191142	ENSMUST00000026295
ENSMUST00000066568	ENSMUST00000145167
ENSMUST00000031061	ENSMUST00000217537
ENSMUST00000188710	ENSMUST00000085245
ENSMUST00000113793	ENSMUST00000117648
ENSMUST00000054536	ENSMUST00000068079
ENSMUST00000058914	ENSMUST00000011981
ENSMUST00000025215	ENSMUST00000103188
ENSMUST00000034131	ENSMUST00000107818
ENSMUST00000098660	ENSMUST00000207370
ENSMUST00000071592	ENSMUST00000119129
ENSMUST00000109685	ENSMUST00000100214
ENSMUST00000050077	ENSMUST00000027312
ENSMUST00000038131	ENSMUST00000045301
ENSMUST00000087181	ENSMUST00000042296
ENSMUST00000031103	ENSMUST00000126071
ENSMUST00000036188	ENSMUST00000044616
ENSMUST00000103143	ENSMUST00000022656
ENSMUST00000077088	ENSMUST00000093239
ENSMUST00000029092	ENSMUST00000106405
ENSMUST00000203816	ENSMUST00000043082
ENSMUST00000076431	ENSMUST00000023150
ENSMUST00000097014	ENSMUST00000027780
ENSMUST00000034876	ENSMUST00000176496
ENSMUST00000025904	ENSMUST00000105894
ENSMUST00000109418	ENSMUST00000171245
ENSMUST00000033004	ENSMUST00000017332
ENSMUST00000113737	ENSMUST00000021864
ENSMUST00000068168	ENSMUST00000032891
ENSMUST00000029353	ENSMUST00000047036
ENSMUST00000033540	ENSMUST00000033938
ENSMUST00000048116	ENSMUST00000060652
ENSMUST00000031347	ENSMUST00000070565
ENSMUST00000034022	ENSMUST00000023365
ENSMUST00000041767	ENSMUST00000001326
ENSMUST00000029259	ENSMUST00000167199
ENSMUST00000046532	ENSMUST00000119962
ENSMUST00000070116	ENSMUST00000042025
ENSMUST00000055296	ENSMUST00000045114
ENSMUST00000111080	ENSMUST00000113539
ENSMUST00000093962	ENSMUST00000022964
ENSMUST00000032413	ENSMUST00000033930
ENSMUST00000102934	ENSMUST00000111663
ENSMUST00000026703	ENSMUST00000019962
ENSMUST00000077577	ENSMUST00000106908
ENSMUST00000041956	ENSMUST00000128788
ENSMUST00000008445	ENSMUST00000051777
ENSMUST00000032627	ENSMUST00000033933
ENSMUST00000114510	ENSMUST00000115460
ENSMUST00000159692	ENSMUST00000109139
ENSMUST00000048155	ENSMUST00000033727
ENSMUST00000006760	ENSMUST00000139560
ENSMUST00000087908	ENSMUST00000097908
ENSMUST00000092155	ENSMUST00000134115
ENSMUST00000035612	ENSMUST00000056749
ENSMUST00000119413	ENSMUST00000025989
ENSMUST00000001419	ENSMUST00000109993
ENSMUST00000032882	ENSMUST00000067230
ENSMUST00000096272	ENSMUST00000195905
ENSMUST00000179669	ENSMUST00000169895
ENSMUST00000115577	ENSMUST00000059438
ENSMUST00000037299	ENSMUST00000037918
ENSMUST00000047242	ENSMUST00000043359
ENSMUST00000060608	ENSMUST00000047356
ENSMUST00000080987	ENSMUST00000111094
ENSMUST00000005064	ENSMUST00000027053
ENSMUST00000029147	ENSMUST00000033809
ENSMUST00000170629	ENSMUST00000008280
ENSMUST00000106354	ENSMUST00000066778
ENSMUST00000093812	ENSMUST00000024946
ENSMUST00000031051	ENSMUST00000040667
ENSMUST00000039449	ENSMUST00000055056
ENSMUST00000040218	ENSMUST00000107689
ENSMUST00000090246	ENSMUST00000110893
ENSMUST00000027534	ENSMUST00000096753
ENSMUST00000002091	ENSMUST00000029069
ENSMUST00000115366	ENSMUST00000107545
ENSMUST00000090398	ENSMUST00000072287
ENSMUST00000078369	ENSMUST00000041723
ENSMUST00000038696	ENSMUST00000061070
ENSMUST00000102864	ENSMUST00000112999
ENSMUST00000092907	ENSMUST00000166312
ENSMUST00000113584	ENSMUST00000146358
ENSMUST00000058496	ENSMUST00000004784
ENSMUST00000109824	ENSMUST00000050970
ENSMUST00000119847	ENSMUST00000171845
ENSMUST00000060576	ENSMUST00000022693
ENSMUST00000102754	ENSMUST00000024078
ENSMUST00000021605	ENSMUST00000201621
ENSMUST00000106507	ENSMUST00000048002
ENSMUST00000037182	ENSMUST00000054014
ENSMUST00000015137	ENSMUST00000023474
ENSMUST00000000193	ENSMUST00000111738
ENSMUST00000070112	ENSMUST00000074408
ENSMUST00000168678	ENSMUST00000026217
ENSMUST00000191899	ENSMUST00000025707
ENSMUST00000023214	ENSMUST00000120591
ENSMUST00000120585	ENSMUST00000216892
ENSMUST00000057561	ENSMUST00000061047
ENSMUST00000120143	ENSMUST00000032969
ENSMUST00000096249	ENSMUST00000109468
ENSMUST00000044277	ENSMUST00000028938
ENSMUST00000025293	ENSMUST00000162610
ENSMUST00000004203	ENSMUST00000043437
ENSMUST00000035037	ENSMUST00000001451
